source_value,frequency,concept_id,concept_name,domain,vocabulary
Atrial-paced rhythm with prolonged AV conduction with frequent,7.0,4089488,Atrial pacing pattern,Condition,SNOMED
Atrial-paced rhythm with prolonged AV conduction with Premature supraventricular complexes,7.0,4089488,Atrial pacing pattern,Condition,SNOMED
Intraventricular conduction delay,7.0,4166844,Intraventricular conduction defect,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia with occasional,7.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with Premature supraventricular complexes with frequent,7.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia with short PR,7.0,4171683,Sinus bradycardia,Condition,SNOMED
Posterior infarct,7.0,4253065,Posterior myocardial infarction on electrocardiogram,Condition,SNOMED
Normal sinus rhythm with 2nd degree A-V block (Mobitz I),7.0,4276669,Normal sinus rhythm,Condition,SNOMED
Sinus bradycardia with short PR with frequent,7.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with atrial premature complexes,7.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with with frequent,7.0,4091898,Sinus rhythm,Condition,SNOMED
"ST abnormality, consider lateral ischemia",7.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"ST elevation,",7.0,4295129,ST segment elevation,Condition,SNOMED
ventricular-paced complexes and premature supraventricular complexes,7.0,4092038,Ventricular pacing pattern,Condition,SNOMED
ventricular-paced complexes and Premature supraventricular complexes and with occasional,7.0,4092038,Ventricular pacing pattern,Condition,SNOMED
APB,6.0,4115173,Atrial premature complex,Condition,SNOMED
APC,6.0,4115173,Atrial premature complex,Condition,SNOMED
Atrial fibrillation with slow ventricular response with Premature ventricular complexes,6.0,313217,Atrial fibrillation,Condition,SNOMED
Marked sinus bradycardia with Premature supraventricular complexes with occasional,6.0,4171683,Sinus bradycardia,Condition,SNOMED
Nonspecific ST-T change,6.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia with short PR,6.0,4276669,Normal sinus rhythm,Condition,SNOMED
Possible Anterior infarct,6.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
Possible lateral ischemia,6.0,4137879,EKG: lateral ischemia,Condition,SNOMED
premature atrial complexes with occasional,6.0,4115173,Atrial premature complex,Condition,SNOMED
sinus arrhythmia,6.0,4217221,Nodal rhythm disorder,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature supraventricular complexes and with occasional,6.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block with 2:1 A-V conduction,6.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature ventricular complexes,6.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I) with frequent,6.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with APC,6.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with short PR with Premature supraventricular complexes and with occasional,6.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with short PR with occasional,6.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block,6.0,4007310,Sinus tachycardia,Condition,SNOMED
"ST elevation, due to",6.0,4295129,ST segment elevation,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with premature atrial complexes",6.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with Premature supraventricular complexes with occasional",6.0,4181676,P wave axis - finding,Condition,SNOMED
VPB,6.0,4089462,Ventricular premature complex,Condition,SNOMED
Wide QRS rhythm with Premature supraventricular complexes and with occasional,6.0,4321877,Wide QRS complex,Condition,SNOMED
Accelerated Junctional rhythm with Premature supraventricular complexes and with frequent,5.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
Atrial fibrillation with VPC,5.0,313217,Atrial fibrillation,Condition,SNOMED
atrial-paced complexes and with frequent,5.0,4089488,Atrial pacing pattern,Condition,SNOMED
AV dual-paced complexes and Premature supraventricular complexes,5.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Ectopic atrial tachycardia,5.0,444070,Tachycardia,Condition,SNOMED
Junctional rhythm with Premature ventricular complexes,5.0,4038688,AV junctional rhythm,Condition,SNOMED
Marked sinus bradycardia with 2nd degree A-V block (Mobitz I),5.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia with frequent,5.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked ST abnormality,5.0,4184762,EKG ST segment changes,Condition,SNOMED
nonspecific ST-T change,5.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia with occasional,5.0,4276669,Normal sinus rhythm,Condition,SNOMED
Possible Anterolateral infarct,5.0,4184348,Anterolateral infarction by electrocardiogram,Condition,SNOMED
Possible Septal infarct,5.0,4030021,Septal infarction by electrocardiogram,Condition,SNOMED
Premature ventricular complexes and Premature atrial complexes with junctional escape complexes,5.0,4089462,Ventricular premature complex,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature supraventricular complexes with occasional,5.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree AV block (Mobitz II),5.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes with junctional escape complexes,5.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with 2nd degree AV block (Mobitz II) with premature supraventricular complexes,5.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with junctional escape complexes,5.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with premature atrial complexes,5.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with short PR with occasional,5.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes and with occasional,5.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with with occasional,5.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with with sinus arrhythmia,5.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree AV block with premature supraventricular complexes,5.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature supraventricular complexes and with occasional,5.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with Premature ventricular complexes,5.0,4007310,Sinus tachycardia,Condition,SNOMED
ST and T wave abnormality,5.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"ST elevation, consider early repolarization .",5.0,4295129,ST segment elevation,Condition,SNOMED
Possible Inferior-posterior infarct,5.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree A-V block (Mobitz II)",5.0,4181676,P wave axis - finding,Condition,SNOMED
2nd degree AV block,4.0,318448,Second degree atrioventricular block,Condition,SNOMED
2nd degree A-V block (4:1),4.0,318448,Second degree atrioventricular block,Condition,SNOMED
LVH,4.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia with Premature atrial complexes,4.0,4171683,Sinus bradycardia,Condition,SNOMED
Normal sinus rhythm with APC,4.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with premature ventricular complexes,4.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with VPB,4.0,4276669,Normal sinus rhythm,Condition,SNOMED
Possible Anteroseptal infarct,4.0,4064610,Anteroseptal infarction on electrocardiogram,Condition,SNOMED
possible Inferior infarct,4.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block with occasional,4.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes with frequent,4.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with Premature ventricular complexes,4.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes with occasional,4.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz II) with occasional,4.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree AV block with occasional,4.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with junctional escape complexes,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes and with occasional,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz II) with Premature supraventricular complexes,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 2:1 A-V conduction with occasional,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree AV block with 3:1 AV conduction,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with premature supraventricular complexes with occasional,4.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with short PR with Premature supraventricular complexes and with occasional,4.0,4007310,Sinus tachycardia,Condition,SNOMED
"ST elevation, maybe",4.0,4295129,ST segment elevation,Condition,SNOMED
Supraventricular tachycardia with Premature supraventricular complexes with frequent,4.0,4275423,Supraventricular tachycardia,Condition,SNOMED
tall T wave,4.0,4089477,Tall T wave,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with premature supraventricular complexes",4.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree A-V block with 4:1 A-V conduction",4.0,4181676,P wave axis - finding,Condition,SNOMED
Ventricular Pacemaker rhythm,4.0,4092038,Ventricular pacing pattern,Condition,SNOMED
anterolateral infarct,3.0,4184348,Anterolateral infarction by electrocardiogram,Condition,SNOMED
Atrial fibrillation with Junctional rhythm,3.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial fibrillation with Premature atrial complexes,3.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial fibrillation with VPB,3.0,313217,Atrial fibrillation,Condition,SNOMED
atrial-paced complexes and Premature atrial complexes,3.0,4089488,Atrial pacing pattern,Condition,SNOMED
AV dual-paced complexes and with frequent,3.0,4088998,AV sequential pacing pattern,Condition,SNOMED
ectopic atrial bradycardia,3.0,4169095,Bradycardia,Condition,SNOMED
ectopic atrial rhythm,3.0,4091898,Sinus rhythm,Condition,SNOMED
Ectopic atrial rhythm with 1st degree A-V block,3.0,4091898,Sinus rhythm,Condition,SNOMED
Ectopic atrial rhythm with occasional,3.0,4091898,Sinus rhythm,Condition,SNOMED
junctional escape rhythm,3.0,4166380,Junctional escape beats,Condition,SNOMED
Junctional escape rhythm,3.0,4166380,Junctional escape beats,Condition,SNOMED
Junctional rhythm with Premature supraventricular complexes and with occasional,3.0,4038688,AV junctional rhythm,Condition,SNOMED
Marked sinus arrhythmia,3.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Marked sinus bradycardia with 1st degree AV block with frequent,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block with occasional,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with Premature atrial complexes with junctional escape complexes,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with short PR with occasional,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked T wave abnormality,3.0,4065390,EKG: T wave abnormal,Condition,SNOMED
nonspecific ST abnormality,3.0,4184762,EKG ST segment changes,Condition,SNOMED
Normal sinus rhythm with 2nd degree A-V block (Mobitz II),3.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with PVC,3.0,4276669,Normal sinus rhythm,Condition,SNOMED
Possible Posterior infarct,3.0,4253065,Posterior myocardial infarction on electrocardiogram,Condition,SNOMED
"Possible Septal infarct , age undetermined",3.0,4030021,Septal infarction by electrocardiogram,Condition,SNOMED
Premature atrial complexes with junctional escape complexes,3.0,4115173,Atrial premature complex,Condition,SNOMED
Premature atrial complexes with Premature supraventricular complexes with occasional,3.0,4115173,Atrial premature complex,Condition,SNOMED
premature ventricular complexes with junctional escape complexes,3.0,4089462,Ventricular premature complex,Condition,SNOMED
Right bundle branch block with occasional,3.0,314059,Right bundle branch block,Condition,SNOMED
Sinus bradycardia with 1st degree AV block with frequent,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block (Mobitz I) with 2:1 A-V conduction,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block (Mobitz II) with Premature supraventricular complexes,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with 2nd degree AV block with 2:1 AV conduction,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with short PR with occasional,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes and with frequent,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with PVC,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block with frequent,3.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm and Premature ventricular complexes,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block with 2:1 A-V conduction with Premature atrial complexes,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with APB,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with atrial premature beats,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree AV block with frequent,3.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature supraventricular complexes with occasional,3.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with Premature atrial complexes with 1st degree A-V block,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with premature atrial complexes with junctional escape complexes,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with short PR with frequent,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with ventricular bigeminy,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with VPB,3.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree AV block with premature atrial complexes,3.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature supraventricular complexes with occasional,3.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz II) with frequent,3.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 2:1 A-V conduction with Premature atrial complexes,3.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 2:1 A-V conduction with Premature supraventricular complexes,3.0,4007310,Sinus tachycardia,Condition,SNOMED
ST & T change,3.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"ST elevation ,consider Early repolarization",3.0,4295129,ST segment elevation,Condition,SNOMED
ST elevation consider Early repolarization,3.0,4295129,ST segment elevation,Condition,SNOMED
"ST elevation, probably",3.0,4295129,ST segment elevation,Condition,SNOMED
ST-T changes,3.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Supraventricular tachycardia with Premature supraventricular complexes and with occasional,3.0,4275423,Supraventricular tachycardia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with Premature supraventricular complexes with occasional",3.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 1st degree A-V block with frequent",3.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 2nd degree A-V block with 2:1 A-V conduction",3.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with Premature supraventricular complexes with occasional",3.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia with 2nd degree A-V block (Mobitz I) with occasional",3.0,4181676,P wave axis - finding,Condition,SNOMED
Ventricular tachycardia,3.0,4103295,Ventricular tachycardia,Condition,SNOMED
ventricular-paced complexes and premature supraventricular complexes and with occasional,3.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Wide QRS rhythm with Premature supraventricular complexes with occasional,3.0,4321877,Wide QRS complex,Condition,SNOMED
1st degree AV block,2.0,314379,First degree atrioventricular block,Condition,SNOMED
Accelerated Junctional rhythm with Premature supraventricular complexes with frequent,2.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
anterior infarct,2.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
"anteroseptal infarct , age undetermined",2.0,4064610,ECG: antero-septal infarct,Condition,SNOMED
Atrial fibrillation with complete AV block,2.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial fibrillation with rapid ventricular response with PVC,2.0,44782442,Atrial fibrillation with rapid ventricular response,Condition,SNOMED
Atrial fibrillation with rapid ventricular response with VPC,2.0,44782442,Atrial fibrillation with rapid ventricular response,Condition,SNOMED
Atrial fibrillation with slow ventricular response with ventricular premature complexes,2.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial flutter with frequent,2.0,314665,Atrial flutter,Condition,SNOMED
Atrial flutter with Premature ventricular complexes,2.0,314665,Atrial flutter,Condition,SNOMED
Atrial flutter with variable A-V block with Premature ventricular complexes,2.0,314665,Atrial flutter,Condition,SNOMED
atrial premature beat,2.0,4115173,Atrial premature complex,Condition,SNOMED
Atrial tachycardia with 2:1 AV conduction,2.0,4171269,Atrial tachycardia,Condition,SNOMED
Atrial-paced rhythm with Premature supraventricular complexes and with occasional,2.0,4089488,Atrial pacing pattern,Condition,SNOMED
Atrial-paced rhythm with prolonged AV conduction with premature atrial complexes,2.0,4089488,Atrial pacing pattern,Condition,SNOMED
Atrial-paced rhythm with prolonged AV conduction with premature supraventricular complexes,2.0,4089488,Atrial pacing pattern,Condition,SNOMED
AV dual-paced complexes and Premature atrial complexes,2.0,4088998,AV sequential pacing pattern,Condition,SNOMED
AV dual-paced complexes and Premature supraventricular complexes and with occasional,2.0,4088998,AV sequential pacing pattern,Condition,SNOMED
"Cannot rule out Anterior infarct , age undetermined with frequent",2.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
complete AV block with Junctional rhythm,2.0,320744,Complete atrioventricular block,Condition,SNOMED
Ectopic atrial rhythm with Premature atrial complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Ectopic atrial rhythm with short PR,2.0,4091898,Sinus rhythm,Condition,SNOMED
"Inferior infarct ,age undetermined",2.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
"inferior infarct, age undetermined",2.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
"Inferior infarct, age undetermined",2.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Junctional rhythm with Premature atrial complexes,2.0,4038688,AV junctional rhythm,Condition,SNOMED
Junctional rhythm with premature supraventricular complexes,2.0,4038688,AV junctional rhythm,Condition,SNOMED
Junctional rhythm with ventricular escape complexes,2.0,4038688,AV junctional rhythm,Condition,SNOMED
Junctional rhythm with wide QRS,2.0,4038688,AV junctional rhythm,Condition,SNOMED
Left ventricular hypertrophy with QRS widening with repolarization abnormality,2.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
Marked sinus bradycardia with 1st degree AV block with premature atrial complexes,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked Sinus bradycardia with frequent,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with junctional escape complexes,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with short PR with frequent,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked sinus bradycardia with short PR with Premature supraventricular complexes,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Possible inferior ischemia,2.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Mobitz type I AV block,2.0,4205137,Mobitz type I incomplete atrioventricular block,Condition,SNOMED
Possible Lateral ischemia,2.0,4137879,EKG: lateral ischemia,Condition,SNOMED
nonspecific intraventricular block,2.0,44784220,Non-specific intraventricular conduction delay,Condition,SNOMED
Nonspecific ST-T abnormality,2.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Nonspecific T wave abnormality with occasional,2.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Nonspecific T wave changes,2.0,4065390,EKG: T wave abnormal,Condition,SNOMED
nonspecific Twave change,2.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Normal sinus rhythm and 1st degree AV block,2.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with 2nd degree A-V block,2.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with Premature supraventricular complexes,2.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with short PR with occasional,2.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia with Premature atrial complexes,2.0,4276669,Normal sinus rhythm,Condition,SNOMED
Possible anterior ischemia,2.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
"Possible Inferior-posterior infarct , age undetermined",2.0,4137208,EKG: inferior ischemia,Condition,SNOMED
possible Left atrial enlargement,2.0,43022066,Left atrial enlargement,Condition,SNOMED
Possible LVH,2.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
premature ventricular complexes and ventricular bigeminy,2.0,4089462,Ventricular premature complex,Condition,SNOMED
Premature ventricular complexes with frequent,2.0,4089462,Ventricular premature complex,Condition,SNOMED
Premature ventricular complexes with Premature atrial complexes,2.0,4089462,Ventricular premature complex,Condition,SNOMED
Prolonged QT with frequent,2.0,4008859,Prolonged QT interval,Condition,SNOMED
Sinus bradycardia with 2nd degree A-V block (Mobitz I) with occasional,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with atrial premature beat,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block with frequent,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with Premature atrial complexes with 1st degree A-V block,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with premature supraventricular complexes with frequent,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with VPB,2.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm and Premature atrial complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with 2nd degree AV block (Mobitz II) with occasional,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with atrial premature complex,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with complete AV block,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with APC,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with premature supraventricular complexes,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature supraventricular complexes and with occasional,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature ventricular complexes,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with short PR with frequent,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with short PR with Premature supraventricular complexes,2.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with Premature atrial complexes and Premature ventricular complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with Premature atrial complexes with occasional,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes and with frequent,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes with junctional escape complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with short PR with premature supraventricular complexes,2.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with short PR with Premature supraventricular complexes and with frequent,2.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with Premature atrial complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with Premature ventricular complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with ventricular premature complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with with Premature ventricular complexes,2.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree AV block with occasional,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature supraventricular complexes and with frequent,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I) with Premature supraventricular complexes with occasional,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz II) with occasional,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with Premature atrial complexes,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with atrial premature complexes,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with premature ventricular complexes,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with PVC,2.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with short PR with Premature supraventricular complexes with occasional,2.0,4007310,Sinus tachycardia,Condition,SNOMED
"Nonspecific T wave abnormality , consider anterior ischemia",2.0,4139185,EKG: anterior ischemia,Condition,SNOMED
ST & Marked T wave abnormality,2.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"ST - T change, consider lateral ischemia",2.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"ST abnormality, consider inferior ischemia",2.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"ST abnormality, consider",2.0,4184762,EKG ST segment changes,Condition,SNOMED
ST change,2.0,4184762,EKG ST segment changes,Condition,SNOMED
"ST elevation, due to Early repolarization",2.0,4295129,ST segment elevation,Condition,SNOMED
"ST elevation,consider Early repolarization",2.0,4295129,ST segment elevation,Condition,SNOMED
"Nonspecific T wave abnormality , anterolateral ischemia",2.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"ST change, consider anterolateral ischemia",2.0,4139185,EKG: anterior ischemia,Condition,SNOMED
T wave change,2.0,4065390,EKG: T wave abnormal,Condition,SNOMED
"T wave change, consider anterolateral ischemia",2.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia with premature atrial complexes",2.0,4181676,P wave axis - finding,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with 2nd degree A-V block (Mobitz I)",2.0,4181676,P wave axis - finding,Condition,SNOMED
